Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response
1957,0,0,0.2340626978430479,-0.8252176496158388,-0.9298943792539408,0.3070392634922745,635,88,546,172,88,88,3,8,10,4,0.6939037392619779,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,2.3888463379521307
1954,0,0,-0.2345594797705348,1.032558767609768,0.9069340242106336,-0.383664176349749,11,1,6,2,1,6,2,1,1,2,-0.1304634715292342,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1965,0,1,0.7694776413179528,-0.8252176496158388,-0.9298943792539408,-0.7980862402549632,426,49,127,111,21,42,1,8,2,10,-0.5426470769248403,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1984,0,1,-1.0172387789593047,1.032558767609768,-0.9298943792539408,-0.7980862402549632,11,4,20,10,3,5,2,2,0,4,0.2817201338663718,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1981,3,2,0.240221459716043,1.032558767609768,-0.9298943792539408,1.550305455207917,173,43,118,46,27,15,5,5,3,6,-0.1304634715292342,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1967,2,1,0.4078987184517832,-0.8252176496158388,0.9069340242106336,-1.143437960175975,520,42,98,0,42,14,2,6,4,10,0.2817201338663718,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1971,0,3,0.1346086270810674,-0.8252176496158388,0.9069340242106336,-0.5218048643181538,235,65,164,50,49,27,4,7,3,7,0.2817201338663718,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1985,3,2,-0.7467300639183287,1.032558767609768,-0.9298943792539408,-0.5908752083023561,76,10,56,3,1,23,2,4,0,4,1.1060873446575838,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1974,3,1,-0.8700245032209357,1.032558767609768,-0.9298943792539408,-1.0398324441996714,14,0,24,3,3,2,1,3,0,2,1.51827095005319,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,2.3888463379521307
1950,3,1,-1.851572209986099,1.032558767609768,0.9069340242106336,0.6523909834132863,28,0,6,1,1,13,1,1,0,0,6.0522906094048565,3.569640218333433,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1983,0,2,2.1402229166609162e-17,1.032558767609768,-0.9298943792539408,-1.3161138201364808,5,5,6,0,2,1,1,1,0,2,0.6939037392619779,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1976,1,2,-1.7779849390906983,-0.8252176496158388,-0.9298943792539408,0.3415744354843757,6,16,11,11,1,16,1,2,0,3,1.1060873446575838,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1959,0,3,0.4285603711869928,-0.8252176496158388,-0.9298943792539408,1.1358833913027029,194,61,480,225,112,30,1,3,4,8,-1.3670142877160525,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1952,2,3,0.2823791780853844,1.032558767609768,0.9069340242106336,0.1343634035317686,233,2,53,3,5,14,3,6,1,5,0.2817201338663718,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
1987,0,2,-1.387678372133074,-0.8252176496158388,-0.9298943792539408,-0.383664176349749,3,14,17,6,1,5,1,1,0,3,1.1060873446575838,-0.2801402771248674,-0.2838301877786303,-0.2801402771248674,-0.2621112169983114,-0.1165103456070925,-0.0972816652688282,-0.4186121074900376
